Date,City,Coffee Type,Price,Cups Sold,Revenue
2023-05-01,Manila,Café starfruit latte,2.09,17,35.53
2023-05-28,Rome,Café gingerbread mocha,6.09,16,97.44
2023-06-28,Tokyo,Café coconut latte,7.7,24,184.8
2023-09-26,Rome,Café chamomile latte,4.92,14,68.88
2023-07-21,Berlin,Café lavender latte,4.67,29,135.43
2023-01-18,Jakarta,Café latte macchiato,2.88,13,37.44
2023-10-02,Toronto,Café mangosteen latte,4.93,16,78.88
2023-07-30,Dhaka,Café cannoli latte,2.21,25,55.25
2023-12-30,Manila,Café caramel macchiato,2.15,53,113.95
2023-10-01,Lagos,Café coconut latte,2.46,37,91.02
2023-06-20,Istanbul,Café con Panna,6.29,15,94.35
2023-10-24,Paris,Cappuccino,6.99,22,153.78
2023-02-15,São Paulo,Café date latte,4.22,14,59.08
2023-02-03,Hong Kong,Flat White,6.92,13,89.96
2023-11-13,Istanbul,Café s'mores latte,6.3,33,207.9
2023-09-28,Kuala Lumpur,Café hibiscus latte,4.25,19,80.75
2023-03-01,Dhaka,Macchiato,1.66,12,19.92
2023-04-02,Tokyo,Café con Panna,8.35,24,200.4
2023-02-10,Delhi,Frappuccino,3.36,10,33.6
2023-11-05,Berlin,Café chai latte,6.16,28,172.48
2023-11-24,Bogotá,Café walnut latte,3.88,23,89.24
2023-01-15,London,Macchiato,6.87,57,391.59
2023-08-28,Beijing,Café mixed berry latte,5.55,11,61.05
2023-10-31,Vienna,Café Miel,9.23,29,267.67
2023-01-15,Bangalore,Café dulce de leche latte,2.56,12,30.72
2023-11-05,Bangalore,Café caramel mocha,3.08,19,58.52
2023-07-03,Casablanca,Café hazelnut mocha,3.6,15,54.0
2023-09-21,Hanoi,Café Liégeois,3.68,8,29.44
2023-07-24,Oslo,Café cherimoya latte,7.31,27,197.37
2023-08-05,Hanoi,Cold Brew,2.85,51,145.35
2023-12-29,New York,Café salak latte,6.95,28,194.6
2023-01-17,Surat,Café mixed berry latte,1.98,6,11.88
2023-02-25,Buenos Aires,Café cranberry latte,3.55,33,117.15
2023-01-20,Oslo,Café salak latte,8.14,10,81.4
2023-06-16,Bogotá,Cafe Cubano,4.42,11,48.62
2023-05-02,Warsaw,Cafe Zorro,4.49,28,125.72
2023-05-13,Paris,Café banana latte,8.31,27,224.37
2023-10-26,Nairobi,Café cannoli latte,2.88,15,43.2
2023-06-20,Bangalore,Frappuccino,2.95,11,32.45
2023-11-24,Nairobi,Café lychee latte,2.43,10,24.3
2023-07-06,Vienna,Café cannoli latte,5.15,17,87.55
2023-01-12,Copenhagen,Café jasmine latte,6.97,25,174.25
2023-10-28,Tokyo,Café rambutan latte,5.31,39,207.09
2023-05-23,Oslo,Café clove latte,7.66,22,168.52
2023-10-12,Auckland,Café honey almond latte,5.94,19,112.86
2023-10-02,Mumbai,Café cherimoya latte,2.19,16,35.04
2023-03-16,Nairobi,Frappuccino,3.74,18,67.32
2023-11-27,Singapore,Flat White,5.33,18,95.94
2023-07-19,Budapest,Café rambutan latte,2.86,28,80.08
2023-10-31,Warsaw,Irish Coffee,4.62,14,64.68
2023-05-27,Santiago,Café coconut cream latte,2.83,36,101.88
2023-12-26,Auckland,Café frappé,7.48,32,239.36
2023-01-29,Oslo,Cafe Cubano,9.3,25,232.5
2023-12-06,Oslo,Café starfruit latte,5.91,10,59.1
2023-06-23,Lisbon,Black Eye,2.52,28,70.56
2023-09-21,Rome,Café rosehip latte,4.43,25,110.75
2023-02-06,Dhaka,Café toffee nut latte,2.53,7,17.71
2023-03-19,Melbourne,Café toffee nut latte,4.77,42,200.34
2023-07-05,Athens,Café coconut cream latte,4.39,15,65.85
2023-03-20,Hanoi,Café strawberry latte,3.12,10,31.2
2023-08-23,Toronto,Café latte macchiato,7.1,11,78.1
2023-07-23,Dhaka,Irish Coffee,2.99,20,59.8
2023-02-16,Berlin,Bulletproof Coffee,7.46,12,89.52
2023-05-29,Stockholm,Café mocha frappé,8.14,16,130.24
2023-10-22,Istanbul,Café soursop latte,4.14,50,207.0
2023-01-02,Rome,Café con Hielo,8.26,14,115.64
2023-11-16,Dubai,Café lavender latte,7.78,33,256.74
2023-11-04,Sydney,Café cinnamon roll latte,6.28,45,282.6
2023-07-20,Riyadh,Café spiced turmeric latte,4.78,25,119.5
2023-12-31,Lima,Café kumquat latte,3.69,19,70.11
2023-07-25,Santiago,Macchiato,3.98,14,55.72
2023-04-01,Beijing,Café chamomile latte,4.84,32,154.88
2023-06-22,Toronto,Cafe con Leche,8.36,30,250.8
2023-05-05,Bogotá,Café mixed berry latte,2.7,20,54.0
2023-10-14,Mexico City,Café pistachio latte,2.82,18,50.76
2023-10-10,Delhi,Café tres leches latte,2.35,20,47.0
2023-08-14,Bangalore,Bulletproof Coffee,3.89,24,93.36
2023-02-06,Oslo,Café caramel mocha,8.55,25,213.75
2023-11-03,Hong Kong,Café tropical latte,6.14,28,171.92
2023-06-05,Mumbai,Café tiramisu latte,2.63,16,42.08
2023-12-11,Manila,Café banana latte,2.92,20,58.4
2023-12-10,Surat,Café maple walnut latte,2.43,27,65.61
